epoch,batch,lr,loss,avg_loss
1,0,0.0005,0.6847478151321411,0.6847478151321411
1,1,0.0005,0.9059035778045654,0.7953256964683533
1,2,0.0005,0.6792134642601013,0.7566216190656027
1,3,0.0005,0.6986817717552185,0.7421366572380066
1,4,0.0005,0.6812487840652466,0.7299590826034545
1,5,0.0005,0.7314255237579346,0.7302034894625345
1,6,0.0005,0.6864119172096252,0.7239475505692619
1,7,0.0005,0.6541376113891602,0.7152213081717491
1,8,0.0005,0.6515665054321289,0.7081485523117913
1,9,0.0005,0.6404165029525757,0.7013753473758697
1,10,0.0005,0.5528639554977417,0.6878743117505853
1,11,0.0005,0.555768609046936,0.6768655031919479
1,12,0.0005,0.5415494441986084,0.6664565755770757
1,13,0.0005,0.6528012752532959,0.66548119698252
1,14,0.0005,0.47061997652053833,0.6524904489517211
1,15,0.0005,0.5068612098693848,0.6433886215090752
1,16,0.0005,0.62154221534729,0.642103538793676
1,17,0.0005,0.602070152759552,0.6398794617917802
1,18,0.0005,0.6000893712043762,0.6377852464977064
1,19,0.0005,0.7697075009346008,0.6443813592195511
1,20,0.0005,0.5605356097221375,0.640388704481579
1,21,0.0005,1.0344589948654175,0.6583009904081171
1,22,0.0005,0.9423215389251709,0.6706497099088586
1,23,0.0005,1.5773110389709473,0.7084272652864456
1,24,0.0005,1.2364120483398438,0.7295466566085815
1,25,0.0005,1.0290981531143188,0.7410678680126483
1,26,0.0005,1.3205153942108154,0.7625288875014694
1,27,0.0005,0.9683056473731995,0.7698780574968883
1,28,0.0005,0.9463534951210022,0.7759634174149612
1,29,0.0005,0.8672299385070801,0.7790056347846985
1,30,0.0005,1.0108516216278076,0.786484537586089
1,31,0.0005,0.765504002571106,0.7858288958668709
1,32,0.0005,0.9134541153907776,0.7896963267615347
1,33,0.0005,1.0596376657485962,0.797635777908213
1,34,0.0005,1.0436248779296875,0.8046640379088266
1,35,0.0005,0.7269383072853088,0.8025049898359511
1,36,0.0005,0.7910746335983276,0.8021960612889882
1,37,0.0005,1.0694608688354492,0.8092293456981057
