epoch,batch,lr,loss,avg_loss
1,0,0.0005,0.6842007040977478,0.6842007040977478
1,1,0.0005,0.8324121236801147,0.7583064138889313
1,2,0.0005,0.6557332873344421,0.7241153717041016
1,3,0.0005,0.6902095079421997,0.7156389057636261
1,4,0.0005,0.674626350402832,0.7074363946914672
1,5,0.0005,0.7054761648178101,0.7071096897125244
1,6,0.0005,0.6652217507362366,0.7011256984301976
1,7,0.0005,0.6392296552658081,0.6933886930346489
1,8,0.0005,0.6464347839355469,0.6881715920236375
1,9,0.0005,0.6220811009407043,0.6815625429153442
1,10,0.0005,0.5027572512626648,0.6653075164014642
1,11,0.0005,0.4797304570674896,0.6498427614569664
1,12,0.0005,0.41246551275253296,0.6315829730950869
1,13,0.0005,0.47441622614860535,0.620356776884624
1,14,0.0005,0.22699664533138275,0.5941327681144078
1,15,0.0005,0.177461639046669,0.5680908225476742
1,16,0.0005,0.2588374614715576,0.5498994483667261
1,17,0.0005,0.17645962536334991,0.5291527915332053
1,18,0.0005,0.16617116332054138,0.5100484953114861
1,19,0.0005,0.30909210443496704,0.5000006757676602
1,20,0.0005,0.19706709682941437,0.4855752672467913
1,21,0.0005,1.228911280632019,0.5193632678552107
1,22,0.0005,0.9012426137924194,0.5359667176785676
1,23,0.0005,0.812620997428894,0.5474939793348312
1,24,0.0005,1.1278536319732666,0.5707083654403686
1,25,0.0005,1.497512698173523,0.6063546859301053
1,26,0.0005,1.3700534105300903,0.6346398238782529
1,27,0.0005,1.4492741823196411,0.6637339081083026
1,28,0.0005,0.9032762050628662,0.6719939873136324
1,29,0.0005,1.4347695112228394,0.6974198381106059
1,30,0.0005,0.8353303074836731,0.7018685629290919
1,31,0.0005,1.0182400941848755,0.7117551732808352
1,32,0.0005,0.7891113758087158,0.7140993006301649
1,33,0.0005,0.684772789478302,0.7132367561845219
1,34,0.0005,0.8975790143013,0.7185036778450012
1,35,0.0005,0.7144737243652344,0.7183917346927855
1,36,0.0005,0.7376692891120911,0.7189127496770911
1,37,0.0005,0.7545302510261536,0.7198500523441717
1,38,0.0005,0.6630254983901978,0.718393012499198
1,39,0.0005,0.7133344411849976,0.718266548216343
1,40,0.0005,0.6853391528129578,0.7174634410113823
1,41,0.0005,0.6982457041740417,0.7170058758485884
1,42,0.0005,0.6768364310264587,0.7160717027131901
1,43,0.0005,0.6905016303062439,0.7154905647039413
1,44,0.0005,0.775037944316864,0.7168138398064507
1,45,0.0005,0.7174035906791687,0.7168266604775968
1,46,0.0005,0.7393274307250977,0.7173054002700968
1,47,0.0005,0.6948286294937134,0.7168371342122555
1,48,0.0005,0.7584307789802551,0.71768598410548
1,49,0.0005,0.7190281748771667,0.7177128279209137
1,50,0.0005,0.695609450340271,0.717279428360509
